Doc Symbol,Title,publicaion date,subject,Lang available,Lang available
E/ECWA/AGR/WG.12/3,THE STATE OF RESOURCES AND MANAGEMENT IN THE AGRICULTURAL SECTOR OF THE ECWA REGION / BY THE JOINT ECWA/FAO AGRICULTURE DIVISION,04/30/1981,I8104023,,05/22/2018 03:01:27 PM
E/ECWA/AGR/WG.12/6,"ECOLOGICAL PROBLEMS AND THE ADMINISTRATIVE AND PLANNING FRAMEWORK : A CASE STUDY FROM KENYA / BY RANDALL BAKER SCHOOL OF DEVELOPMENT STUDIES, UNIVERSITY OF EAST ANGLIA, NORWICH, ENGLAND",04/13/1981,I8103977,,05/22/2018 03:01:27 PM
E/ECWA/AGR/WG.12/9,"FORESTRY DEVELOPMENT STRATEGY FOR THE ECWA REGION / BY T.M. EREN, CHIEF [AND] B. BEN SALEM, FOREST AND WILDLANDS CONSERVATION BRANCH, FOREST RESOURCES DIVISION, FAO, ROME",04/15/1981,I8103991,,05/22/2018 03:01:27 PM
E/ECWA/AGR/WG.12/12,"THE MAB APPROACH TO THE CONSERVATION AND MANAGEMENT OF NATURAL RESOURCES WITH EMPHASIS ON ARID AND SEMI-ARID LAND PROBLEMS IN THE ARAB STATES IN GENERAL AND ECWA REGION IN PARTICULAR / BY MAHMOOD A. CLOR, REGIONAL ADVISER - ENVIRONMENTAL STUDIES, UNESCO REGIONAL OFFICE FOR SCIENCE & TECHNOLOGY FOR THE ARAB STATES, UNESCO, PARIS",04/13/1981,I8103992,,05/22/2018 03:01:27 PM
E/ECWA/AGR/WG.12/13,"FAO/UNEP PROJECT ON DESERTIFICATION ASSESSMENT AND MAPPING / BY T. BOYADGIEV, PROJECT COORDINATOR, SOIL RESOURCES, MANAGEMENT AND CONSERVATION SERVICE, LAND AND WATER DEVELOPMENT DIVISION",04/15/1981,I8103993,,05/22/2018 03:01:28 PM
E/ECWA/AGR/WG.12/14,"ECOLOGICAL MANAGEMENT OF ARID AND SEMI-ARID RANGELANDS (EMASAR) : CONCEPT, OBJECTIVES AND PRESENT ACTIVITIES / BY T. IONESCO, GRASSLAND AND PASTURE CROPS GROUP, AGPC, FAO, ROME",05/10/1981,I8104171,,05/22/2018 03:01:28 PM
E/ECWA/AGR/WG.12/16,"AGRO-CLIMATOLOGICAL ASPECTS OF AGRICULTURAL RESOURCE CONSERVATION / BY E.G. DAVY AND A.S. ZAITSEV, WORLD METEOROLOGICAL ORGANIZATION, GENEVA, SWITZERLAND",04/13/1981,I8103996,,05/22/2018 03:01:28 PM
E/ECWA/AGR/WG.12/17,"ENVIRONMENTAL ASPECTS OF AGRICULTURAL RESOURCES CONSERVATION WITH REFERENCE TO IRRIGATED FARMING / BY LOUAY T. KADRY, TECHNICAL OFFICER (ENVIRONMENTAL STUDIES) [AND] ABDULLAH ARAR, SENIOR OFFICER, LAND AND WATER DEVELOPMENT DIVISION, FAO, ROME",04/15/1981,I8103997,,05/22/2018 03:01:28 PM
E/ECWA/AGR/WG.12/18,"LANDS OF THE ECWA REGION AND THEIR POTENTIAL FOR RAINFED CROP PRODUCTION / COMPILED BY G.M. HIGGINS AND A.H. KASSAM, SOIL RESOURCES, MANAGEMENT AND CONSERVATION SERVICE, LAND AND WATER DEVELOPMENT DIVISION, FAO, ROME",04/15/1981,I8103998,,05/22/2018 03:01:28 PM
E/ECWA/AGR/WG.12/19,"SOIL AND WATER CONSERVATION STRATEGIES FOR THE ECWA REGION / BY D.W. SANDERS, SENIOR OFFICER (SOIL CONSERVATION), SOIL RESOURCES, MANAGEMENT AND CONSERVATION SERVICE, LAND AND WATER DEVELOPMENT DIVISION, FAO, ROME",04/15/1981,I8103999,,05/22/2018 03:01:28 PM
E/ECWA/AGR/WG.12/20,"TECHNIQUES FOR WATER MANAGEMENT AND CONSERVATION UNDER SEMI-ARID AND ARID CONDITIONS / BY ABDULLAH ARAR, SENIOR OFFICER, WATER RESOURCES, DEVELOPMENT AND MANAGEMENT SERVICE, LAND AND WATER DEVELOPMENT DIVISION",04/15/1981,I8104000,,05/22/2018 03:01:28 PM
E/ECWA/AGR/WG.12/21,"MANAGEMENT AND CONSERVATION OF GROUNDWATER IN THE ECWA REGION / BY R.G. THOMAS, SENIOR OFFICER, LAND AND WATER DEVELOPMENT DIVISION, FAO, ROME",04/15/1981,I8104001,,05/22/2018 03:01:28 PM
E/ECWA/AGR/WG.12/25,"A DEVELOPMENT APPROACH FOR SEMI-ARID AREAS OF THE ECWA REGION (PLANNING AND IMPLEMENTATION) / BY NEAL R. CARPENTER, CHIEF, FARM MANAGEMENT & PRODUCTION ECONOMICS SERVICE, AGRICULTURAL SERVICES DIVISION, FAO, ROME",04/15/1981,I8104002,,05/22/2018 03:01:28 PM
E/ECWA/AGR/WG.12/29,"DROUGHT LOSS MANAGEMENT : STRATEGIES FOR MINIMIZING THE RISKS OF DROUGHT IN INDIA / BY S.S. JOHL, DIRECTOR OF RESEARCH, PUNJAB AGRICULTURAL UNIVERSITY, LUDHIANA, INDIA",04/13/1981,I8103978,,05/22/2018 03:01:28 PM
E/ECWA/DPD/WG.15/1/ADD.1,PROVISIONAL ANNOTATED AGENDA,06/03/1981,I8104157,,05/22/2018 03:01:28 PM
E/ECWA/ID/WG.4/18,INDUSTRIALIZATION AND INDUSTRIAL POLICY IN THE ECONOMIC COMMISSION FOR WESTERN ASIA REGION : A PRELIMINARY REPORT,01/01/1981,I8103743,,05/22/2018 03:01:28 PM
E/ECWA/ID/WG.4/19,"CHOICES AND RISKS OF ELECTRONIC PRODUCTS MANUFACTURING IN DEVELOPING COUNTRIES / BY DR. KHALED M. DIAB, ECWA CONSULTANT",04/01/1981,I8109630,,05/22/2018 03:01:28 PM
E/ECWA/ID/WG.4/21,"EXPORTS (OF WORLD'S MAIN EXPORTERS) OF ENGINEERING PRODUCTS TO THE ARAB WORLD, INCLUDING ECWA REGION : A STATISTICAL COMPENDIUM, COVERING THE PERIOD 1971-1978",05/01/1981,I8104132,,05/22/2018 03:01:29 PM
E/ECWA/ID/WG.4/25,"EXPERTS GROUP MEETING ON IDENTIFICATION OF PROJECTS FOR REGIONAL CO-OPERATION IN CAPITAL GOODS AND HEAVY ENGINEERING INDUSTRIES 15-19 JUNE 1981, VIENNA, AUSTRIA : REPORT",08/01/1981,I8104280,,05/22/2018 03:01:29 PM
E/ECWA/ID/WG.4/23,COOPERATION AND COORDINATION AMONG ARAB COMMON COMPANIES / COUNCIL OF ARAB ECONOMIC UNITY GENERAL SECRETARIAT,07/01/1981,I8104255,,05/22/2018 03:01:29 PM
E/ECWA/ID/WG.4/24,"INTERLINKAGES AMONG AUTOMOTIVE, AGRICULTURAL AND CONSTRUCTION MACHINERY INDUSTRIES / BY DR. M. GABR, R. ABDUR RAHIM AND R. ZAHAWI, SENIOR EXPERTS ARAB INDUSTRIAL INVESTMENT CO. (AIIC)",07/01/1981,I8104259,,05/22/2018 03:01:29 PM
E/ECWA/ID/WG.4/26,EXECUTIVE SUMMARY OF THE STUDY FOR THE ESTABLISHMENT OF AN ARAB ENGINEERING COMPANY IN THE OIL SECTOR / PREPARED BY ORGANIZATION OF ARAB PETROLEUM EXPORTING COUNTRIES (OAPEC),08/01/1981,I8104318,,05/22/2018 03:01:29 PM
E/ECWA/DPD/WG.15/1/REV.1/ADD.1,REVISED PROVISIONAL ANNOTATED AGENDA,12/03/1981,I8104509,,05/22/2018 03:01:29 PM
E/ECWA/DPD/WG.15/12,"HARIK, ANTUN F. FINANCIAL INTEGRATION IN THE ARAB EAST: PROBLEMS AND PROSPECTS",11/11/1981,I8104459,,05/22/2018 03:01:29 PM
E/ECWA/ID/WG.4/2/REV.1,AIDE MEMOIRE,04/01/1981,I8103927,,05/22/2018 03:01:29 PM
E/ECWA/ID/WG.4/22,"IMPORTS OF ENGINEERING PRODUCTS INTO THE ARAB LEAGUE AND THE ECWA REGIONS, 1963, 1965, 1970-1978",06/01/1981,I8104222,,05/22/2018 03:01:29 PM
E/ECWA/DPD/WG.15/1/REV.1/ADD.1,"REVISED PROVISIONAL ANNOTATED AGENDA, EXPERT GROUP MEETING ON FEASIBLE FORMS OF ECONOMIC CO-OPERATION AND INTEGRATION IN WESTERN ASIA 14-18 DECEMBER 1981 BEIRUT - LEBANON",12/03/1981,I8104510;NL320633,EP AP,05/22/2018 06:00:23 PM
E/ECWA/DPD/WG.15/1/ADD.1,"PROVISIONAL ANNOTATED AGENDA,  EXPERT GROUP MEETING ON FEASIBLE FORMS OF ECONOMIC CO-OPERATION AND INTEGRATION IN WESTERN ASIA 14-18 DECEMBER 1981 BEIRUT - LEBANON",06/03/1981,I8104202;NL320631,EP AP,05/22/2018 06:00:27 PM
E/ESCWA/TDD/2017/WG.4/REPORT,"REPORT : WORKSHOP ON FOSTERING INNOVATION IN THE PUBLIC SECTORS OF ARAB COUNTRIES, CAIRO, 30 - 31 OCTOBER 2017",02/17/2018,I1800091;I1800092,EP AP,05/23/2018 10:00:22 AM
E/ESCWA/ECW/2017/TECHNICAL PAPER.4,ESTIMATING COSTS OF MARITAL VIOLENCE  IN THE ARAB REGION : OPERATIONAL MODEL,07/18/2017,I1700602;I1700422,EP AP,05/23/2018 10:00:22 AM
E/ESCWA/SDPD/2017/CP.7,CASE STUDY ON POLICY REFORMS TO PROMOTE RENEWABLE ENERGY IN LEBANON : UNITED NATIONS DEVELOPMENT ACCOUNT PROJECT ON PROMOTING RENEWABLE ENERGY INVESTMENTS FOR CLIMATE CHANGE MITIGATION AND SUSTAINABLE DEVELOPMENT,05/02/2018,I1700730,EP,05/24/2018 01:00:56 AM
E/ESCWA/SDPD/2017/CP.8,CASE STUDY ON POLICY REFORMS TO PROMOTE RENEWABLE ENERGY IN THE UNITED ARAB EMIRATES : UNITED NATIONS DEVELOPMENT ACCOUNT PROJECT ON PROMOTING RENEWABLE ENERGY INVESTMENTS FOR CLIMATE CHANGE MITIGATION AND SUSTAINABLE DEVELOPMENT,05/01/2018,I1700731,EP,05/24/2018 01:00:56 AM
E/ESCWA/SDPD/2017/CP.9,CASE STUDY ON POLICY REFORMS TO PROMOTE RENEWABLE ENERGY IN JORDAN : UNITED NATIONS DEVELOPMENT ACCOUNT PROJECT ON PROMOTING RENEWABLE ENERGY INVESTMENTS FOR CLIMATE CHANGE MITIGATION AND SUSTAINABLE DEVELOPMENT,05/23/2018,I1700747,EP,05/24/2018 01:00:56 AM
E/ECWA/DPD/WG.15/1/REV.1,"REVISED PROVISIONAL AGENDA, EXPERT GROUP MEETING ON FEASIBLE FORMS OF ECONOMIC CO-OPERATION AND INTEGRATION IN WESTERN ASIA 14-18 DECEMBER 1981 BEIRUT - LEBANON",11/30/1981,I8104507;NL323074,EP AP,06/07/2018 15:30
E/ECWA/ID/WG.3/13,DRAFT RECOMMENDATIONS VEGETABLE OILS AND ANIMAL FEED STUFFS.,03/28/1975,I750378;NL323103,EP AP,06/07/2018 15:30
E/ECWA/XI/10/ADD.1,THE FINANCIAL STATUS OF THE COMMISSION'S PROGRAMMES. EXTRABUDGETARY RESOURCES SUPPORTING THE COMMISSION'S PROGRAMMES. (NOTE BY THE EXECUTIVE SECRETARY),03/26/1984,I8400223;NL323124,EP AP,06/07/2018 15:30
E/ECWA/XI/7/REV.1,REPORT OF THE STANDING COMMITTEE FOR THE PROGRAMME (22-26 APRIL 1984),05/10/1984,I8400359;NL323128,EP AP,06/07/2018 15:30
E/ECWA/ID/WG.1/7,REPORT OF THE MEETING ON SPECIAL PROBLEMS AND REQUIREMENTS OF INDUSTRIAL DEVELOPMENT IN SELECTED COUNTRIES OF THE MIDDLE EAST,01/06/1975,I750128;NL323099,EP AP,06/07/2018 15:30
E/ESCWA/C.1/19/4(PARTI)/ADD.5,REPORT ON THE ACTIVITIES OF THE TRANSPORT AND COMMUNICATIONS DECADE IN WESTERN ASIA : PHASE 2 (1992-1996),04/01/1997,I9700173;I970O222,EP AP,06/18/2018 03:03:13 PM
E/ESCWA/TECH/1999/4,SCIENCE AND TECHNOLOGY POLICIES FOR THE 21ST CENTURY,09/14/1999,I9900911,EP,06/18/2018 03:03:40 PM
E/ESCWA/TRANS/2000/WG.1/4,GOOD PRACTICES FOR FACILITATION OF LAND AND MARITIME TRANSPORT FOR INTERNATIONAL MOVEMENT / PREPARED BY M. RAHMATULLAH,09/13/2000,I0000427,EP,06/18/2018 03:03:59 PM
E/ESCWA/SDD/2011/WG.5/3,DEVELOPMENT ACCOUNT PROJECT ON: STRENGTHENING NATIONAL CAPACITIES TO DEAL WITH INTERNATIONAL MIGRATION : MAXIMIZING BENEFITS AND MINIMIZING NEGATIVE IMPACT : CONCEPT NOTE,06/27/2011,I1100147;I1100145,EP AP,06/18/2018 03:05:25 PM
E/ESCWA/SDD/2011/WG.5/7/REPORT,"REPORT : WORKSHOP ON STRENGTHENING DIALOGUE BETWEEN ESCWA AND ESCAP COUNTRIES ON INTERNATIONAL MIGRATION AND DEVELOPMENT, BEIRUT, 28-30 JUNE 2011",09/09/2011,I1100229;I1100228,EP AP,06/18/2018 03:05:26 PM
E/ESCWA/OES/2013/2,A REGIONAL PERSPECTIVE ON THE POST-2015 UNITED NATIONS DEVELOPMENT AGENDA,06/01/2013,I1300226;I1300077,AP EP,06/18/2018 03:05:38 PM
E/ECWA/XI/C.P./10,NOTE BY THE EXECUTIVE SECRETARY,04/01/1984,I8400244;NL323130,EP AP,06/22/2018 03:01:57 PM
E/ECWA/XI/CP/2,NOTE BY THE EXECUTIVE SECRETARY,04/16/1984,I8400276;NL323134,EP AP,06/22/2018 03:01:57 PM
E/ECWA/XI/CP/4/ADD.1,"NOTE BY THE EXECUTIVE SECRETARY, ADDENDUM",04/15/1984,I8400273;NL323135,EP AP,06/22/2018 03:01:58 PM
E/ECWA/XI/15/REV.1,DECENTRALIZATION: GENERAL ASSEMBLY RESOLUTION 32/197 ON RESTRUCTURING OF THE ECONOMIC AND SOCIAL SECTORS OF THE UNITED NATIONS SYSTEM,04/14/1984,I8400268;NL323125,EP AP,06/22/2018 03:01:59 PM
E/ECWA/XI/CP/1/REV.1,AGENDA,04/23/1984,I8400328;NL323133,EP AP,06/22/2018 03:01:59 PM
E/ECWA/XI/CP/4,NOTE BY THE EXECUTIVE SECRETARY,03/26/1984,I8400220;NL323136,EP AP,06/22/2018 03:01:59 PM
E/ESCWA/SDPD/2017/CP.10,CASE STUDY ON POLICY REFORMS TO PROMOTE RENEWABLE ENERGY IN GEORGIA : UNITED NATIONS DEVELOPMENT ACCOUNT PROJECT ON PROMOTING RENEWABLE ENERGY INVESTMENTS FOR CLIMATE CHANGE MITIGATION AND SUSTAINABLE DEVELOPMENT,07/25/2017,I1700748,EP,07/05/2018 13:00
E/ESCWA/ECW/2017/4,THE STATE OF GENDER JUSTICE IN THE ARAB REGION,12/24/2017,I1700571;I1700572,EP AP,07/05/2018 14:26
ESCWA/EDID/2018/1/SUMMARY,SURVEY OF ECONOMIC AND SOCIAL DEVELOPMENTS IN THE ARAB REGION 2017-2018 : SUMMARY,07/04/2018,I1800146;I1800147,EP AP,07/05/2018 14:27
E/ESCWA/SDPD/2017/CP.13,CASE STUDY ON POLICY REFORMS TO PROMOTE RENEWABLE ENERGY IN UKRAINE : UNITED NATIONS DEVELOPMENT ACCOUNT PROJECT ON PROMOTING RENEWABLE ENERGY INVESTMENTS FOR CLIMATE CHANGE MITIGATION AND SUSTAINABLE DEVELOPMENT,07/04/2017,I1700751,EP,07/05/2018 14:27
E/ESCWA/SDPD/2017/CP.11,CASE STUDY ON POLICY REFORMS TO PROMOTE RENEWABLE ENERGY IN KAZAKHSTAN : UNITED NATIONS DEVELOPMENT ACCOUNT PROJECT ON PROMOTING RENEWABLE ENERGY INVESTMENTS FOR CLIMATE CHANGE MITIGATION AND SUSTAINABLE DEVELOPMENT,07/04/2017,I1700749,EP,07/05/2018 14:27
E/ESCWA/SD/2017/TECHNICAL PAPER.4,METHODOLOGICAL STUDY ON ECONOMIC STATISTICS : ISLAMIC FINANCE IN THE NATIONAL ACCOUNTS,05/17/2018,I1800006,EP,07/05/2018 14:27
E/ESCWA/SDD/2017/1,2017 SITUATION REPORT ON INTERNATIONAL MIGRATION MIGRATION IN THE ARAB REGION AND THE 2030 AGENDA FOR SUSTAINABLE DEVELOPMENT,05/22/2018,I1700507;I1700508,EP AP,07/05/2018 14:27
E/ESCWA/SDPD/2017/CP.12,CASE STUDY ON POLICY REFORMS TO PROMOTE RENEWABLE ENERGY IN SERBIA : UNITED NATIONS DEVELOPMENT ACCOUNT PROJECT ON PROMOTING RENEWABLE ENERGY INVESTMENTS FOR CLIMATE CHANGE MITIGATION AND SUSTAINABLE DEVELOPMENT,07/24/2017,I1700750,EP,07/05/2018 14:28
E/ESCWA/SDPD/2017/MODULES/INTRO,,07/05/2017,I1700428,AP,07/06/2018 1:01
E/ESCWA/SDPD/2018/INF.2,WORLD DAY TO COMBAT DESERTIFICATION AND DROUGHT 2018 SMART CHOICES TO PRESERVE OUR LAND,05/04/2018,I1800222;I1800215,EP AP,08/02/2018 10:00
E/ESCWA/EDID/2017/1,SURVEY OF ECONOMIC AND SOCIAL DEVELOPMENTS IN THE ARAB REGION 2016-2017,12/01/2017,I1700600;I1700601,EP AP,08/02/2018 10:00
E/ESCWA/OES/2018/1,ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA ANNUAL REPORT 2017,06/05/2018,I1800159;I1800160,EP AP,08/11/2018 1:00
E/ESCWA/SDPD/2017/1,,08/28/2017,I1700625;I1700626,EP AP,08/15/2018 01:00:16 PM
E/ESCWA/30/18/REPORT,"REPORT OF THE THIRTIETH SESSION, 25 - 28 JUNE 2018, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA, ECONOMIC AND SOCIAL COUNCIL, OFFICIAL RECORDS, SUPPLEMENT NO. 21",08/13/2018,I1800274;I1800279,EP AP,08/24/2018 01:00:09 AM
E/ESCWA/30/3,"CONSIDERATION OF REQUESTS BY STATES OF THE UNITED NATIONS AND/OR ITS SPECIALIZED AGENCIES THAT ARE NOT MEMBERS OF ESCWA TO PARTICIPATE AS OBSERVERS IN THE THIRTIETH SESSION OF THE COMMISSION, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/15/2018,I1800209;I1800210,EP AP,08/24/2018 01:00:09 AM
E/ESCWA/30/4,"MEGATRENDS IN THE TRANSPORT SECTOR AND THEIR IMPACT ON THE ARAB REGION (CONCEPT NOTE) : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/14/2018,I1800206;I1800207,EP AP,08/24/2018 01:00:09 AM
