Doc Symbol	publicaion date	Jobs	title	title _ar	subjects	Area	discard	Lang available	Security level	title	session 1	session 2	session 3	agenda 1	agenda 2	agenda 3
E/ESCWA/13/1/REV.2	04/23/1986	I8600574	AGENDA : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA, 13TH SESSION, 19-24 APRIL 1986, BAGHDAD		T0005915	UNDOC		EP AP	2	AGENDA : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA, 13TH SESSION, 19-24 APRIL 1986, BAGHDAD	13					
E/ESCWA/13/2	02/17/1986	I8600177	ORGANIZATION OF WORK/ NOTE BY THE EXECUTIVE SECRETARY		T0005999;T0007920;T0005547	UNDOC		EP AP	2	ORGANIZATION OF WORK/ NOTE BY THE EXECUTIVE SECRETARY	13			4		
E/ESCWA/13/3/REV.3	04/23/1986	I8600584	INVITATION TO STATES MEMBERS OF THE UNITED NATIONS OR OF SPECIALIZED AGENCIES NOT MEMBERS OF THE COMMISSION TO PARTICIPATE IN A CONSULTATIVE CAPACITY IN THE ACTIVITIES OF THE THIRTEENTH SESSION OF THE COMMISSION		T0007920;T0005547	UNDOC		EP AP	2	INVITATION TO STATES MEMBERS OF THE UNITED NATIONS OR OF SPECIALIZED AGENCIES NOT MEMBERS OF THE COMMISSION TO PARTICIPATE IN A CONSULTATIVE CAPACITY IN THE ACTIVITIES OF THE THIRTEENTH SESSION OF THE COMMISSION	13			5		
E/ESCWA/13/4 (PART 10)/REV.1	04/14/1986	I8600377			T0005920;T0004948;T0006044;T0006000;T0004924;T0006816;T0006124	UNDOC		AP	2		13			6 (A)		
E/ESCWA/13/4 (PART 11)	02/19/1986	I8600293			T0005920;T0006000;T0000689;T0000895;T0006124	UNDOC		AP	2		13			6 (a)		
E/ESCWA/13/4 (PART 12)/REV.1	04/14/1986	I8600471			T0005920;T0006267;T0006000;T0002412;T0009709;T0006124	UNDOC		AP	2		13			6 (A)		
E/ESCWA/13/4 (PART 13)	02/19/1986	I8600295			T0005920;T0000922;T0006000;T0006345;T0006124	UNDOC		AP	2		13			6 (a)		
E/ESCWA/13/4 (PART 14)	02/19/1986	I8600296			T0005920;T0000816;T0006808;T0009071;T0006124	UNDOC		AP	2		13			6 (A)		
E/ESCWA/13/4 (PART 15)	02/19/1986	I8600297			T0005920;T0003889;T0006000;T0003955;T0004278;T0004266;T0004346;T0006124	UNDOC		AP	2		13			6 (a)		
E/ESCWA/13/4 (PART 16)	02/19/1986	I8600298			T0005920;T0000714;T0006000;T0006124	UNDOC		AP	2		13			6(a)		
E/ESCWA/13/4 (PART 1)	02/19/1986	I8600257	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION. PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME		T0005920;T0006267;T0006000;T0002412;T0009709;T0006124	UNDOC		AP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION. PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME	13			6 (A)		
E/ESCWA/13/4 (PART 2)	02/19/1986	I8600284	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION. PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PART II DEVELOPMENT ISSUES AND POLICIES		T0001494;T0006000;T0006124	UNDOC		AP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION. PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PART II DEVELOPMENT ISSUES AND POLICIES	13			6 (A)		
E/ESCWA/13/4 (PART 3)/REV.1	04/14/1986	I8600376	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION. PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PART III. ENERGY		T0005920;T0006000;T0006730;T0001401;T0001415;T0006124	UNDOC		AP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION. PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PART III. ENERGY	13			6 (A)		
E/ESCWA/13/4 (PART 4)	02/19/1986	I8600286			T0006000;T0006124;T0005920;T0009784;T0000714	UNDOC		AP	2		13			6(a)		
E/ESCWA/13/4 (PART 5)/REV.1	04/14/1986	I8600468			T0005920;T0006000;T0009957;T0003083;T0002125;T0006124	UNDOC		AP	2		13			6 (a)		
E/ESCWA/13/4 (PART 6)/REV.1	04/14/1986	I8600374			T0005920;T0005763;T0001810;T0006124	UNDOC		AP	2		13			6 (a)		
E/ESCWA/13/4 (PART 7)/REV.1	04/14/1986	I8600375			T0005920;T0002647;T0002625;T0006000;T0006124	UNDOC		AP	2		13			6 (a)		
E/ESCWA/13/4 (PART 8)	02/19/1986	I8600290			T0005920;T0000714;T0006000;T0001251;T0010171;T0006124	UNDOC		AP	2		13			6 (a)		
E/ESCWA/13/4 (PART 9)	02/19/1986	I8600291			T0005920;T0007199;T0002842;T0006000;T0000724;T0005601;T0002775;T0006124	UNDOC		AP	2		13			6 (a)		
E/ESCWA/13/4 (PART III)	02/19/1986	I8600332	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART III/ ENERGY		T0005920;T0006000;T0006730;T0001401;T0001415;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART III/ ENERGY	13			6(A)		
E/ESCWA/13/4 (PART II)	02/19/1986	I8600331	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART II/ DEVELOPMENT ISSUES AND POLICIES		T0005920;T0004271;T0006000;T0000732;T0005968	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART II/ DEVELOPMENT ISSUES AND POLICIES	13			6(A)		
E/ESCWA/13/4 (PART IV)	02/19/1986	I8600333	REPORT OF THE EXECUTIVE SECRETARY OF THE ACTIVITIES OF THE COMMISSION. PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PART IV. ENVIRONMENT		T0005920;T0000714;T0006000;T0009784;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY OF THE ACTIVITIES OF THE COMMISSION. PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PART IV. ENVIRONMENT	13			6 (a)		
E/ESCWA/13/4 (PART IX)	02/19/1986	I8600338	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART IX/ POPULATION		T0005920;T0007199;T0002842;T0006000;T0000724;T0005601;T0002775;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART IX/ POPULATION	13			6(A)		
E/ESCWA/13/4 (PART I)	02/19/1986	I8600330	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART I / FOOD AND AGRICULTURE		T0001494;T0006000;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART I / FOOD AND AGRICULTURE	13			6(A)		
E/ESCWA/13/4 (PART VIII)	02/19/1986	I8600337	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART VIII/ NATURAL RESOURCES		T0005920;T0000714;T0006000;T0001251;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART VIII/ NATURAL RESOURCES	13			6 (A)		
E/ESCWA/13/4 (PART VII)/REV.1	04/14/1986	I8600431	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATIONOF THE WORK PROGRAMME/ PART VII/ INTERNATIONAL TRADE AND DEVELOPMENT FINANCE		T0005920;T0002647;T0002625;T0006000;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATIONOF THE WORK PROGRAMME/ PART VII/ INTERNATIONAL TRADE AND DEVELOPMENT FINANCE	13			6(A)		
E/ESCWA/13/4 (PART VI)/REV.1	04/14/1986	I8600439	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMNTATION OF THE WORK PROGRAMME/ PART VI/ INDUSTRIAL DEVELOPMENT		T0005920;T0006000;T0005763;T0001810;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMNTATION OF THE WORK PROGRAMME/ PART VI/ INDUSTRIAL DEVELOPMENT	13			6(A)		
E/ESCWA/13/4 (PART V)	02/19/1986	I8600334	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART V/ HUMAN SETTLEMENTS		T0005920;T0006000;T0009957;T0003083;T0006124;T0002125	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART V/ HUMAN SETTLEMENTS	13			6(A)		
E/ESCWA/13/4 (PART XIII)	02/19/1986	I8600342	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XIII/ TRANSNATIONAL CORPORATIONS		T0005920;T0000922;T0006000;T0006345;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XIII/ TRANSNATIONAL CORPORATIONS	13			6(A)		
E/ESCWA/13/4 (PART XII)/REV.1	04/14/1986	I8600470	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XII/ RANSPORT AND COMMUNICATIONS		T0005920;T0006267;T0006000;T0002412;T0009709;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XII/ RANSPORT AND COMMUNICATIONS	13			6(A)		
E/ESCWA/13/4 (PART XIV)/REV.1	04/14/1986	I8600434	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XIV/ PUBLIC FINANCE AND ADMINISTRATION		T0005920;T0000816;T0006000;T0006808;T0009071;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XIV/ PUBLIC FINANCE AND ADMINISTRATION	13			6(A)		
E/ESCWA/13/4 (PART XI)	02/19/1986	I8600340	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XI / STATISTICS		T0005920;T0006000;T0000689;T0000895;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XI / STATISTICS	13			6(A)		
E/ESCWA/13/4 (PART XVI)	02/19/1986	I8600345	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XVI/ TECHNICAL CO-OPERATION ACTIVITIES AND TECHNICAL ASSISTANCE PROJECTS		T0000714;T0006000;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XVI/ TECHNICAL CO-OPERATION ACTIVITIES AND TECHNICAL ASSISTANCE PROJECTS	13			6(A)		
E/ESCWA/13/4 (PART XV)	02/19/1986	I8600344	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XV/ SOCIAL DEVELOPMENT		T0005920;T0003889;T0006000;T0003955;T0004278;T0004266;T0004346;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART XV/ SOCIAL DEVELOPMENT	13			6(A)		
E/ESCWA/13/4 (PART X)	02/19/1986	I8600339	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART X/ SCIENCE AND TECHNOLOGY		T0005920;T0004948;T0006044;T0006000;T0004924;T0006816;T0006124	UNDOC		EP	2	REPORT OF THE EXECUTIVE SECRETARY ON THE ACTIVITIES OF THE COMMISSION/ PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME/ PART X/ SCIENCE AND TECHNOLOGY	13			6(A)		
E/ESCWA/13/4/ADD.1	02/05/1986	I8600115	THE SITUATION AND OUTLOOK FOR MEAT, POULTRY AND EGGS IN THE ESCWA REGION : NOTE / BY THE SECRETARIAT		T0001482;T0001784;T0001679;T0001774;T0001675;T0005547;T0006000	UNDOC		EP AP	2	THE SITUATION AND OUTLOOK FOR MEAT, POULTRY AND EGGS IN THE ESCWA REGION : NOTE / BY THE SECRETARIAT	13			6a		
E/ESCWA/13/4/ADD.10	03/04/1986	I8600282	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. THE ROLE OF THE REGIONAL NETWORK IN DISSEMINATION OF INFORMATION IN THE AREAS OF NEW AND RENEWABLE SOURCES OF ENERGY. NOTE BY THE SECRETARIAT		T0006007;T0006044;T0001422;T0004800;T0004924;T0004794	UNDOC		EP AP	2	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. THE ROLE OF THE REGIONAL NETWORK IN DISSEMINATION OF INFORMATION IN THE AREAS OF NEW AND RENEWABLE SOURCES OF ENERGY. NOTE BY THE SECRETARIAT	13			6 (A)		
E/ESCWA/13/4/ADD.11	02/05/1986	I8600157	ENERGY CONSERVATION IN THE CEMENT INDUSTRY IN ESCWA COUNTRIES : IRAQ [AND] JORDAN : NOTE / BY THE SECRETARIAT		T0001401;T0002128;T0005532;T0005533;T0006000	UNDOC		EP AP	2	ENERGY CONSERVATION IN THE CEMENT INDUSTRY IN ESCWA COUNTRIES : IRAQ [AND] JORDAN : NOTE / BY THE SECRETARIAT	13			6a		
E/ESCWA/13/4/ADD.12	02/05/1986	I8600146	ENERGY CONSERVATION IN THE HOUSEHOLD SECTOR IN THE SYRIAN ARAB REPUBLIC : NOTE / BY THE SECRETARIAT		T0001401;T0002797;T0005544;T0006000	UNDOC		EP AP	2	ENERGY CONSERVATION IN THE HOUSEHOLD SECTOR IN THE SYRIAN ARAB REPUBLIC : NOTE / BY THE SECRETARIAT	13			6a		
E/ESCWA/13/4/ADD.13	02/05/1986	I8600128	PROMOTION OF MANPOWER TRAINING AND EDUCATION PROGRAMMES IN THE WATER SECTOR WITHIN THE ESCWA REGION : NOTE / BY THE SECRETARIAT		T0003649;T0003650;T0001251;T0005547;T0006000	UNDOC		EP AP	2	PROMOTION OF MANPOWER TRAINING AND EDUCATION PROGRAMMES IN THE WATER SECTOR WITHIN THE ESCWA REGION : NOTE / BY THE SECRETARIAT	13			6a		
E/ESCWA/13/4/ADD.14	02/05/1986	I8600239	THE ACTIVITIES OF GOVERNMENTS AND INTERNATIONAL AGENCIES IN THE FIELD OF WATER RESOURCES WITHIN THE ESCWA REGION : NOTE / BY THE SECRETARIAT		T0001252;T0005977;T0005547;T0006000	UNDOC		EP AP	2	THE ACTIVITIES OF GOVERNMENTS AND INTERNATIONAL AGENCIES IN THE FIELD OF WATER RESOURCES WITHIN THE ESCWA REGION : NOTE / BY THE SECRETARIAT	13			6a		
E/ESCWA/13/4/ADD.15	02/19/1986	I8600173	PROMOTION OF SUBREGIONAL AND REGIONAL COOPERATION FOR THE STRENGTHENING OF NATIONAL SCIENTIFIC AND TECHNOLOGICAL CAPABILITIES : NOTE / BY THE SECRETARIAT		T0006816;T0000747;T0004940;T0005547;T0006000	UNDOC		EP AP	2	PROMOTION OF SUBREGIONAL AND REGIONAL COOPERATION FOR THE STRENGTHENING OF NATIONAL SCIENTIFIC AND TECHNOLOGICAL CAPABILITIES : NOTE / BY THE SECRETARIAT	13			6a		
E/ESCWA/13/4/ADD.16	02/05/1986	I8600201	ELECTRIC POWER GENERATION AND DISTRIBUTION : OPPORTUNITIES FOR COOPERATION IN THE ESCWA REGION : NOTE / BY THE SECRETARIAT		T0002248;T0002247;T0005547;T0006000	UNDOC		EP AP	2	ELECTRIC POWER GENERATION AND DISTRIBUTION : OPPORTUNITIES FOR COOPERATION IN THE ESCWA REGION : NOTE / BY THE SECRETARIAT	13			6a		
E/ESCWA/13/4/ADD.17	02/05/1986	I8600136	AN INTEGRATED DEVELOPMENT OF MANUFACTURING FACILITIES FOR AUTOMOTIVES : A FRAMEWORK FOR REGIONAL COOPERATION : NOTE / BY THE SECRETARIAT		T0001956;T0002028;T0005547;T0006000	UNDOC		EP AP	2	AN INTEGRATED DEVELOPMENT OF MANUFACTURING FACILITIES FOR AUTOMOTIVES : A FRAMEWORK FOR REGIONAL COOPERATION : NOTE / BY THE SECRETARIAT	13			6a		
E/ESCWA/13/4/ADD.17/REV.1	04/14/1986	I8600446			T0007920;T0000747;T0002015;T0010393	UNDOC		AP	2		13			6 (A)		
E/ESCWA/13/4/ADD.18/REV.1	04/14/1986	I8600421	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. MICROELECTRONICS AND INFORMATICS IN THE ESCWA REGION. NOTE BY THE SECRETARIAT.		T0004961;T0006124;T0005888	UNDOC		EP AP	2	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. MICROELECTRONICS AND INFORMATICS IN THE ESCWA REGION. NOTE BY THE SECRETARIAT.	13			6 (A)		
E/ESCWA/13/4/ADD.19	02/05/1986	I8600189	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PROMOTION ACTIVITIES OF THE JOINT ESCWA/UNIDO INDUSTRY DIVISION. NOTE BY THE SECRETARIAT.		T0001817;T0006124	UNDOC		AP	2	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PROMOTION ACTIVITIES OF THE JOINT ESCWA/UNIDO INDUSTRY DIVISION. NOTE BY THE SECRETARIAT.	13			6 (A)		
E/ESCWA/13/4/ADD.19/REV.1	04/14/1986	I8600433	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PROMOTION ACTIVITIES OF THE JOINT ESCWA/UNIDO INDUSTRY DIVISION. NOTE BY THE SECRETARIAT		T0000142;T0001817;T0006124	UNDOC		EP AP	2	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. PROMOTION ACTIVITIES OF THE JOINT ESCWA/UNIDO INDUSTRY DIVISION. NOTE BY THE SECRETARIAT	13			6 (A)		
E/ESCWA/13/4/ADD.2	02/05/1986	I8600169	AGRICULTURAL PLANNING ASSISTANCE AND TRAINING : NOTE / BY THE SECRETARIAT		T0001478;T0006162;T0001491;T0005547;T0006000	UNDOC		EP AP	2	AGRICULTURAL PLANNING ASSISTANCE AND TRAINING : NOTE / BY THE SECRETARIAT	13			6a		
E/ESCWA/13/4/ADD.20/REV.1	04/14/1986	I8600443	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. MASTERPLAN FOR THE DEVELOPMENT OF TECHNOLOGICAL CAPABILITIES IN THE OIL REFINING, PETROCHEMICAL AND FERTILIZER INDUSTRY. A FRAMEWORK. NOTE BY THE SECRETARIAT.		T0006159;T0005934;T0004929;T0005969;T0006819	UNDOC		EP AP	2	PROGRESS MADE IN THE IMPLEMENTATION OF THE WORK PROGRAMME. MASTERPLAN FOR THE DEVELOPMENT OF TECHNOLOGICAL CAPABILITIES IN THE OIL REFINING, PETROCHEMICAL AND FERTILIZER INDUSTRY. A FRAMEWORK. NOTE BY THE SECRETARIAT.	13			6 (A)		
